anio,ciudad,tipo_turismo,visitantes,gasto_promedio
2020,Asunción,Cultural,38181,429
2020,Asunción,Compras,38670,453
2020,Asunción,Receptivo,18104,249
2020,Encarnación,Cultural,30230,417
2020,Encarnación,Compras,16472,385
2020,Encarnación,Receptivo,25850,218
2020,Ciudad del Este,Cultural,22784,372
2020,Ciudad del Este,Compras,35327,307
2020,Ciudad del Este,Receptivo,32644,324
2021,Asunción,Cultural,12541,461
2021,Asunción,Compras,25838,408
2021,Asunción,Receptivo,27727,228
2021,Encarnación,Cultural,30249,245
2021,Encarnación,Compras,31874,456
2021,Encarnación,Receptivo,15312,296
2021,Ciudad del Este,Cultural,32929,261
2021,Ciudad del Este,Compras,31742,437
2021,Ciudad del Este,Receptivo,21277,245
2022,Asunción,Cultural,37307,232
2022,Asunción,Compras,17007,359
2022,Asunción,Receptivo,37199,450
2022,Encarnación,Cultural,37757,459
2022,Encarnación,Compras,18920,452
2022,Encarnación,Receptivo,28427,407
2022,Ciudad del Este,Cultural,32682,466
2022,Ciudad del Este,Compras,37886,453
2022,Ciudad del Este,Receptivo,25070,327
2023,Asunción,Cultural,31174,280
2023,Asunción,Compras,24520,216
2023,Asunción,Receptivo,23623,440
2023,Encarnación,Cultural,36768,216
2023,Encarnación,Compras,28050,286
2023,Encarnación,Receptivo,30891,220
2023,Ciudad del Este,Cultural,17113,398
2023,Ciudad del Este,Compras,26332,446
2023,Ciudad del Este,Receptivo,13268,318
2024,Asunción,Cultural,13635,300
2024,Asunción,Compras,29303,237
2024,Asunción,Receptivo,37292,202
2024,Encarnación,Cultural,33746,479
2024,Encarnación,Compras,32826,349
2024,Encarnación,Receptivo,25839,370
2024,Ciudad del Este,Cultural,31412,255
2024,Ciudad del Este,Compras,30324,277
2024,Ciudad del Este,Receptivo,36610,204
2025,Asunción,Cultural,31078,215
2025,Asunción,Compras,23825,242
2025,Asunción,Receptivo,33605,477
2025,Encarnación,Cultural,37476,249
2025,Encarnación,Compras,16980,232
2025,Encarnación,Receptivo,12025,362
2025,Ciudad del Este,Cultural,32093,351
2025,Ciudad del Este,Compras,33994,482
2025,Ciudad del Este,Receptivo,22860,368
